id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,"Algebra: likninger og ulikheter;Andregradsfunksjoner;Polynom- og rasjonale funksjoner;Potens- og eksponentialfunksjoner;Derivasjon og vekstfart;Trigonometri;Tallfølger, mønster og programmering;Modellering og anvendelser",,,
,config,,title,Matematikk 1T,,,
,config,,description,"Algebra, andregradsfunksjoner, polynom- og rasjonale funksjoner, potens- og eksponentialfunksjoner, derivasjon, trigonometri, tallfølger og modellering — dekomponert i det elevene faktisk må kunne gjøre, med hjelpemiddelordningen fra våren 2027 lagt til grunn.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,mathematics,,,
,config,,storageKey,1t-ferdighetstre-fullfort,,,
,config,,features.motivation,true,,,
,config,,features.exams,true,,,
,config,,slots.courseName,matematikk 1T (norsk videregående skole),,,
,config,,slots.expressionFocus,"blander sammen likhetstegn og pil/derav-tegn i en utregningskjede, bytter om på definisjonsområde og verdimengde, skriver et bevis eller en utledning som bare viser ett spesialtilfelle i stedet for det generelle argumentet, glemmer å ta med alle løsninger av en likning eller ulikhet (f.eks. bare positiv rot), eller runder av mellomresultater for tidlig i en flerstegs utregning",,,
,config,,slots.motivationSubject,matte,,,
,config,,aids.label,Del,,,
,config,,aids.1.student,"Uten hjelpemidler. Du regner for hånd, uten kalkulator.",,,
,config,,aids.1.model,"Hjelpemidler: Dette gjelder del 1 av eksamen, uten hjelpemidler. Forvent at eleven regner for hånd, uten kalkulator. Treningen skal gjenspeile hvordan ferdigheten faktisk skal utføres på eksamen, med hjelpemiddelordningen fra våren 2027 (ingen datamaskin/nettbrett på del 2 i det hele tatt - kun en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler).",,,
,config,,aids.2.student,"Fra våren 2027 besvares denne delen for hånd. Du får bruke en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler — men ingen PC eller nettbrett, og ingen grafisk, likningsløsende eller programmerbar kalkulator.",,,
,config,,aids.2.model,"Hjelpemidler: Dette gjelder del 2 av eksamen, som fra våren 2027 skal besvares for hånd. Forvent at eleven bruker en enkel vitenskapelig kalkulator (kan regne med kvadratrøtter, logaritmer, sinus/cosinus/tangens og standardavvik), eventuelt egne notater/trykte hjelpemidler. Merk: grafiske kalkulatorer og kalkulatorer som kan løse likninger, er programmerbare eller kan kommunisere med andre enheter, er IKKE tillatt - og heller ikke CAS-programvare eller PC/nettbrett (f.eks. GeoGebra). Treningen skal gjenspeile hvordan ferdigheten faktisk skal utføres på eksamen, med hjelpemiddelordningen fra våren 2027 (ingen datamaskin/nettbrett på del 2 i det hele tatt - kun en enkel vitenskapelig kalkulator, egne notater på papir og trykte hjelpemidler).",,,
variabel-og-uttrykk-begrep,concept,Algebra: likninger og ulikheter,Variabel og algebraisk uttrykk,"Eleven vet hva en variabel og et algebraisk uttrykk er, og kan forenkle uttrykk ved å trekke sammen like ledd og bruke parentesregler.",,0,
koeffisient-begrep,concept,Algebra: likninger og ulikheter,Koeffisient,Eleven vet at en koeffisient er det konstante tallet som multipliserer en variabel eller en potens av en variabel i et algebraisk uttrykk.,,0,
fortegnsskjema-begrep,concept,Algebra: likninger og ulikheter,Fortegnsskjema,"Eleven vet at et fortegnsskjema er en tabell som viser hvor et uttrykk skifter fortegn over et intervall, og at det brukes til å avgjøre vekst/avtakelse eller til å løse ulikheter.",,0,
linear-likning-en-ukjent,skill,Algebra: likninger og ulikheter,Løse en lineær likning med én ukjent,Eleven kan løse en lineær likning med én ukjent for hånd.,variabel-og-uttrykk-begrep,1,"Gi eleven en lineær likning med én ukjent (gjerne med parenteser eller ledd på begge sider) og be dem løse den for hånd, uten kalkulator."
funksjonsbegrep-generelt,concept,Algebra: likninger og ulikheter,Funksjon,"Eleven forstår en funksjon som en sammenheng der hver x-verdi gir nøyaktig én y-verdi, og kan lese av funksjonsverdier f(x) fra en formel, en tabell eller en graf.",variabel-og-uttrykk-begrep,0,
identitet-begrep,concept,Algebra: likninger og ulikheter,Identitet,"Eleven vet at en identitet er en likning som er sann for alle verdier av variabelen, i motsetning til en vanlig likning som bare er sann for bestemte verdier.",linear-likning-en-ukjent,0,
skille-identitet-likning-uttrykk-funksjon,skill,Algebra: likninger og ulikheter,"Forklare forskjellen mellom identitet, likning, uttrykk og funksjon","Eleven kan forklare forskjellen mellom en identitet, en likning, et algebraisk uttrykk og en funksjon, og gi eksempler på hver.",identitet-begrep;funksjonsbegrep-generelt,1,"Gi eleven fire matematiske objekter bygget rundt de samme symbolene (f.eks. x²+4x) - ett uttrykk, én likning, én identitet og én funksjon - og be dem klassifisere hvert av dem og begrunne forskjellen."
kvadratsetningene-begrep,concept,Algebra: likninger og ulikheter,Kvadratsetningene,"Eleven kjenner de tre kvadratsetningene ((a+b)², (a-b)² og (a+b)(a-b)) og vet hvordan de kan brukes til både å utvide og å faktorisere uttrykk.",variabel-og-uttrykk-begrep,0,
bruke-kvadratsetninger,skill,Algebra: likninger og ulikheter,Bruke kvadratsetningene til å utvide og faktorisere,"Eleven kan bruke kvadratsetningene til å utvide et uttrykk på faktorisert form, og til å faktorisere et uttrykk som passer et av mønstrene.",kvadratsetningene-begrep,1,"Gi eleven et blandet sett med uttrykk - noen på faktorisert form som skal utvides, noen på utvidet form som skal faktoriseres med en kvadratsetning - og be dem løse alle for hånd."
bestemme-koeffisienter-identitet,skill,Algebra: likninger og ulikheter,Bestemme koeffisienter slik at en likning blir en identitet,"Eleven kan bestemme ukjente konstanter i et uttrykk slik at en gitt likning blir en identitet, ofte ved å sammenligne med en kjent kvadratsetning.",bruke-kvadratsetninger;skille-identitet-likning-uttrykk-funksjon;koeffisient-begrep,1,"Gi eleven en likning på formen a(x+b)²=x²+8x+c (eller lignende) med tre ukjente konstanter, og be dem bestemme alle tre slik at likningen blir en identitet, med begrunnelse."
nullproduktsetningen-begrep,concept,Algebra: likninger og ulikheter,Nullproduktsetningen,Eleven vet at et produkt av to eller flere faktorer er null hvis og bare hvis minst én av faktorene er null.,variabel-og-uttrykk-begrep,0,
lose-faktorisert-likning,skill,Algebra: likninger og ulikheter,Løse en faktorisert likning med nullproduktsetningen,Eleven kan løse en likning gitt på faktorisert form ved å bruke nullproduktsetningen.,nullproduktsetningen-begrep;linear-likning-en-ukjent,1,"Gi eleven en likning på formen (uttrykk)·(uttrykk)=0, der hver faktor er et førstegradsuttrykk, og be dem finne alle løsningene."
faktorisere-andregradsuttrykk,skill,Algebra: likninger og ulikheter,Faktorisere et andregradsuttrykk,"Eleven kan faktorisere et andregradsuttrykk, blant annet ved å trekke ut en fellesfaktor, bruke en kvadratsetning, eller finne nullpunktene og skrive uttrykket på formen a(x-x1)(x-x2).",bruke-kvadratsetninger,1,"Gi eleven et sett andregradsuttrykk (noen med fellesfaktor, noen som passer en kvadratsetning, noen som krever å finne nullpunktene) og be dem faktorisere hvert for hånd."
andregradslikning-lose,skill,Algebra: likninger og ulikheter,Løse en andregradslikning,"Eleven kan løse en andregradslikning ved faktorisering eller ved abc-formelen, og velge en hensiktsmessig metode.",faktorisere-andregradsuttrykk;lose-faktorisert-likning,1,"Gi eleven flere andregradslikninger - noen som lett lar seg faktorisere, noen som krever abc-formelen - og be dem løse hver av dem med en hensiktsmessig metode."
fortegnsskjema-ferdighet,skill,Algebra: likninger og ulikheter,Lage et fortegnsskjema for et produkt av faktorer,"Eleven kan lage et fortegnsskjema for et produkt av førstegradsfaktorer, og bruke det til å avgjøre hvor produktet er positivt, negativt eller null.",faktorisere-andregradsuttrykk;fortegnsskjema-begrep,1,Gi eleven et faktorisert uttrykk (produkt av to eller tre førstegradsfaktorer) og be dem sette opp et fullstendig fortegnsskjema for uttrykket.
andregradsulikhet-lose,skill,Algebra: likninger og ulikheter,Løse en andregradsulikhet,Eleven kan løse en andregradsulikhet ved å finne nullpunktene til det tilhørende andregradsuttrykket og bruke et fortegnsskjema eller en skisse av parabelen til å bestemme løsningsmengden.,fortegnsskjema-ferdighet;andregradslikning-lose,1,"Gi eleven en andregradsulikhet (f.eks. x²+7x+6≤0) og be dem løse den for hånd, med fortegnsskjema eller skisse som begrunnelse for løsningsmengden."
likningssystem-lineaert-ved-regning,skill,Algebra: likninger og ulikheter,Løse et lineært likningssystem ved regning,"Eleven kan løse et lineært likningssystem med to ukjente ved regning, for eksempel ved innsettingsmetoden eller addisjonsmetoden.",linear-likning-en-ukjent,1,"Gi eleven et lineært likningssystem med to ukjente og be dem løse det ved regning, med metoden vist tydelig."
likningssystem-lineaert-og-andregrad,skill,Algebra: likninger og ulikheter,Løse et likningssystem med én lineær og én andregradslikning,"Eleven kan løse et likningssystem der én likning er lineær og én er av andre grad, ved regning (vanligvis ved innsettingsmetoden).",likningssystem-lineaert-ved-regning;andregradslikning-lose,1,"Gi eleven et likningssystem med én lineær og én andregradslikning (f.eks. -x²+4=y og x-y=2) og be dem løse det ved regning, og finne alle løsningspar."
likningssystem-grafisk,skill,Algebra: likninger og ulikheter,Løse et likningssystem grafisk,Eleven kan løse et likningssystem grafisk ved å skissere begge grafene for hånd i samme koordinatsystem og lese av skjæringspunktet eller -punktene.,likningssystem-lineaert-og-andregrad,1,"Gi eleven et likningssystem (gjerne det samme de nettopp løste ved regning) og be dem skissere begge grafene for hånd og lese av skjæringspunktet, uten hjelpemidler."
polynomdivisjon-ferdighet,skill,Algebra: likninger og ulikheter,Utføre polynomdivisjon,"Eleven kan utføre polynomdivisjon for å dele et polynom med et førstegradsuttrykk, og bruke resultatet til å omskrive et algebraisk uttrykk.",faktorisere-andregradsuttrykk;polynom-begrep,1,"Gi eleven et polynom av tredje grad eller høyere og et førstegradsuttrykk som går opp i det, og be dem utføre polynomdivisjonen for hånd og oppgi kvotienten."
finne-rasjonal-nullpunkt-ved-proving,skill,Algebra: likninger og ulikheter,Finne et heltallig nullpunkt i et høyeregradspolynom ved prøving,Eleven kan finne et heltallig nullpunkt i et tredjegradspolynom ved å prøve enkle divisorer av konstantleddet og sette dem inn i uttrykket.,linear-likning-en-ukjent;polynom-begrep,1,"Gi eleven et tredjegradspolynom og be dem finne ett heltallig nullpunkt ved systematisk prøving av divisorer av konstantleddet, med utregningen vist."
lose-tredjegradslikning,skill,Algebra: likninger og ulikheter,Løse en tredjegradslikning,"Eleven kan løse en tredjegradslikning ved å finne ett nullpunkt ved prøving, dele polynomet med tilhørende førstegradsfaktor ved polynomdivisjon, og løse den gjenværende andregradslikningen.",finne-rasjonal-nullpunkt-ved-proving;polynomdivisjon-ferdighet;andregradslikning-lose,1,"Gi eleven en tredjegradslikning (f.eks. 2x³+3x²-18x+8=0) og be dem løse den ved å finne ett nullpunkt ved prøving, dele med polynomdivisjon, og løse den gjenværende andregradslikningen - med alle løsninger oppgitt."
andregradsfunksjon-begrep,concept,Andregradsfunksjoner,Andregradsfunksjon,"Eleven vet at en andregradsfunksjon kan skrives på formen f(x)=ax²+bx+c, og at grafen er en parabel som vender oppover når a>0 og nedover når a<0.",funksjonsbegrep-generelt,0,
ekstremalpunkt-begrep,concept,Andregradsfunksjoner,Ekstremalpunkt,"Eleven vet at et ekstremalpunkt er et topp- eller bunnpunkt på en graf, altså et lokalt maksimums- eller minimumspunkt.",andregradsfunksjon-begrep,0,
finne-nullpunkt-andregradsfunksjon,skill,Andregradsfunksjoner,Finne nullpunktene til en andregradsfunksjon,"Eleven kan finne nullpunktene til en andregradsfunksjon ved å løse den tilhørende andregradslikningen f(x)=0, og koble nullpunktene til skjæringspunktene mellom grafen og x-aksen.",andregradsfunksjon-begrep;andregradslikning-lose,1,"Gi eleven en andregradsfunksjon og be dem finne nullpunktene, og forklare hva nullpunktene forteller om grafen."
finne-ekstremalpunkt-andregradsfunksjon,skill,Andregradsfunksjoner,Bestemme topp- eller bunnpunktet til en andregradsfunksjon,"Eleven kan bestemme koordinatene til topp- eller bunnpunktet til en andregradsfunksjon, for eksempel ved fullstendig kvadrering eller ved symmetri om midtpunktet mellom nullpunktene, og avgjøre om det er et maksimums- eller minimumspunkt.",andregradsfunksjon-begrep;bruke-kvadratsetninger;ekstremalpunkt-begrep,1,"Gi eleven en andregradsfunksjon og be dem bestemme koordinatene til topp- eller bunnpunktet for hånd, og avgjøre om det er et maksimums- eller minimumspunkt."
sammenheng-andregradslikning-ulikhet-funksjon,skill,Andregradsfunksjoner,"Utforske sammenhengen mellom andregradslikning, -ulikhet, -funksjon og kvadratsetninger","Eleven kan utforske og forklare sammenhengen mellom en andregradslikning, den tilhørende andregradsulikheten, grafen til andregradsfunksjonen (nullpunkter, fortegn, ekstremalpunkt) og kvadratsetningene, og bruke sammenhengen til å løse problemer på flere måter.",finne-nullpunkt-andregradsfunksjon;andregradsulikhet-lose;finne-ekstremalpunkt-andregradsfunksjon,1,"Gi eleven en andregradsfunksjon og be dem vise sammenhengen mellom likningen f(x)=0, ulikheten f(x)≤0 (eller ≥0) og grafens utseende - inkludert å bruke en kvadratsetning der det er hensiktsmessig - og forklare koblingen med egne ord."
tegne-andregradsfunksjon-skisse,skill,Andregradsfunksjoner,Skissere grafen til en andregradsfunksjon for hånd,"Eleven kan skissere grafen til en andregradsfunksjon for hånd, uten hjelpemidler, ut fra nullpunkter, ekstremalpunkt og åpningsretning.",sammenheng-andregradslikning-ulikhet-funksjon,1,"Gi eleven en andregradsfunksjon på faktorisert eller utvidet form og be dem skissere grafen for hånd, med nullpunkter og ekstremalpunkt markert."
bestemme-andregradsfunksjon-fra-egenskaper,skill,Andregradsfunksjoner,Bestemme et mulig funksjonsuttrykk for en andregradsfunksjon ut fra egenskaper,"Eleven kan sette opp et mulig funksjonsuttrykk for en andregradsfunksjon gitt egenskaper som ekstremalpunkt eller nullpunkter, og argumentere for at svaret oppfyller kravene.",finne-ekstremalpunkt-andregradsfunksjon,1,"Gi eleven en liste med egenskaper en andregradsfunksjon skal ha (f.eks. et gitt bunnpunkt og at grafen skal vende oppover), og be dem sette opp et mulig funksjonsuttrykk og argumentere for at det stemmer."
polynomfunksjon-egenskaper-begrep,concept,Polynom- og rasjonale funksjoner,Polynomfunksjoners egenskaper,"Eleven vet at en polynomfunksjon av grad n kan ha inntil n nullpunkter, og kjenner sammenhengen mellom gradtallet og hvor mange ganger grafen kan skifte mellom å vokse og avta.",andregradsfunksjon-begrep;lose-tredjegradslikning;polynom-begrep,0,
polynom-begrep,concept,Polynom- og rasjonale funksjoner,Polynom,"Eleven vet at et polynom er et uttrykk bygget opp av en sum av ledd, der hvert ledd er en koeffisient multiplisert med en potens av x.",,0,
finne-nullpunkt-hoyeregrads-polynom,skill,Polynom- og rasjonale funksjoner,Finne nullpunktene til et polynom av tredje grad eller høyere,"Eleven kan finne nullpunktene til en polynomfunksjon av tredje grad eller høyere ved å kombinere prøving, polynomdivisjon og andregradsformelen.",lose-tredjegradslikning;polynomfunksjon-egenskaper-begrep,1,"Gi eleven en polynomfunksjon av tredje grad (f.eks. f(x)=x³-5x²-8x+12) og be dem bestemme alle nullpunktene til funksjonen, med fullstendig utregning."
drofte-polynomfunksjon-fortegn,skill,Polynom- og rasjonale funksjoner,Drøfte fortegnet til en polynomfunksjon,"Eleven kan bruke nullpunktene til en polynomfunksjon til å lage et fortegnsskjema, og bruke det til å drøfte hvor funksjonen er positiv og hvor den er negativ.",finne-nullpunkt-hoyeregrads-polynom;fortegnsskjema-ferdighet,1,"Gi eleven en polynomfunksjon av tredje grad og be dem finne nullpunktene, lage et fortegnsskjema, og bruke det til å avgjøre for hvilke x-verdier funksjonen er positiv."
rasjonal-funksjon-begrep,concept,Polynom- og rasjonale funksjoner,Rasjonal funksjon,"Eleven vet at en rasjonal funksjon er en kvotient av to polynomer, og kjenner begrepene nullpunkt, vertikal asymptote og horisontal asymptote for slike funksjoner.",funksjonsbegrep-generelt;polynomfunksjon-egenskaper-begrep,0,
asymptote-begrep,concept,Polynom- og rasjonale funksjoner,Asymptote,"Eleven vet at en asymptote er en linje grafen til en funksjon nærmer seg, men aldri når, enten når x vokser mot uendelig eller når x nærmer seg en bestemt verdi.",rasjonal-funksjon-begrep,0,
finne-nullpunkt-rasjonal-funksjon,skill,Polynom- og rasjonale funksjoner,Finne nullpunktene til en rasjonal funksjon,"Eleven kan finne nullpunktene til en rasjonal funksjon ved å løse likningen teller=0, og sjekke at nevneren ikke også er null i disse punktene.",rasjonal-funksjon-begrep;andregradslikning-lose,1,"Gi eleven en rasjonal funksjon og be dem finne nullpunktene, med kontroll av at nevneren ikke er null i disse punktene."
finne-vertikal-asymptote,skill,Polynom- og rasjonale funksjoner,Finne de vertikale asymptotene til en rasjonal funksjon,"Eleven kan finne de vertikale asymptotene til en rasjonal funksjon ved å bestemme hvilke x-verdier som gjør nevneren lik null, uten at telleren samtidig blir null der.",rasjonal-funksjon-begrep;asymptote-begrep,1,"Gi eleven en rasjonal funksjon og be dem finne alle de vertikale asymptotene, med begrunnelse."
finne-horisontal-asymptote,skill,Polynom- og rasjonale funksjoner,Bestemme den horisontale asymptoten til en rasjonal funksjon,"Eleven kan bestemme den horisontale asymptoten til en rasjonal funksjon ved å sammenligne gradene til teller og nevner, og resonnere om hva som skjer med funksjonsverdien når x blir svært stor eller svært liten.",rasjonal-funksjon-begrep;asymptote-begrep,1,"Gi eleven en rasjonal funksjon og be dem bestemme den horisontale asymptoten, med begrunnelse ut fra gradene til teller og nevner."
vurdere-pastander-rasjonal-funksjon,skill,Polynom- og rasjonale funksjoner,Vurdere påstander om en rasjonal funksjon,"Eleven kan vurdere og begrunne om påstander om en rasjonal funksjons nullpunkt, asymptoter og skjæring med aksene stemmer, ut fra funksjonsuttrykket.",finne-nullpunkt-rasjonal-funksjon;finne-vertikal-asymptote;finne-horisontal-asymptote,1,"Gi eleven en rasjonal funksjon og fire påstander om nullpunkt, vertikale asymptoter, skjæring med y-aksen og horisontal asymptote, og be dem avgjøre og begrunne hvilke påstander som stemmer."
konstruere-rasjonal-funksjon-fra-egenskaper,skill,Polynom- og rasjonale funksjoner,Bestemme et mulig funksjonsuttrykk for en rasjonal funksjon ut fra egenskaper,"Eleven kan sette opp et mulig funksjonsuttrykk for en rasjonal funksjon gitt egenskaper som antall nullpunkt, antall vertikale asymptoter eller en gitt horisontal asymptote, og argumentere for at svaret oppfyller kravene.",vurdere-pastander-rasjonal-funksjon,1,"Gi eleven en liste med egenskaper (f.eks. «ingen nullpunkt, to vertikale asymptoter» eller «horisontal asymptote y=2, skjærer ikke y-aksen»), og be dem sette opp et mulig funksjonsuttrykk og argumentere for at det oppfyller alle kravene."
potensregler-utvidet-begrep,concept,Potens- og eksponentialfunksjoner,Potensregler med rasjonale eksponenter,"Eleven kjenner potensreglene for potenser med negative og rasjonale (brøk-) eksponenter, og sammenhengen mellom rotuttrykk og potenser med brøkeksponent.",variabel-og-uttrykk-begrep,0,
forenkle-potensuttrykk-1t,skill,Potens- og eksponentialfunksjoner,Forenkle potensuttrykk med rasjonale eksponenter,Eleven kan forenkle og regne ut potensuttrykk med negative og rasjonale eksponenter for hånd.,potensregler-utvidet-begrep,1,"Gi eleven et sett potensuttrykk med negative og rasjonale (brøk-)eksponenter, og be dem forenkle/regne ut hvert av dem for hånd, med hver brukte potensregel vist."
potensfunksjon-begrep,concept,Potens- og eksponentialfunksjoner,Potensfunksjon,"Eleven vet at en potensfunksjon kan skrives på formen f(x)=a·x^b, og kjenner igjen hvordan grafens form (voksende/avtakende, konkav/konveks) avhenger av eksponenten b.",forenkle-potensuttrykk-1t;funksjonsbegrep-generelt,0,
