id,type,emne,navn,beskrivelse,avhenger_av,hjelpemiddel,instruks
brak-decimal-begrepp,begrep,Aritmetik och procent,Bråk och decimaltal,"Eleven vet sambandet mellan bråkform och decimalform, och kan växla mellan formerna.",,,
procent-begrepp,begrep,Aritmetik och procent,Procent och andelar,"Eleven vet vad procent och andelar innebär, och kan räkna om mellan bråkform, decimalform och procentform.",brak-decimal-begrepp,,
berakna-procent-fardighet,ferdighet,Aritmetik och procent,Beräkna en andel i procent,Eleven kan beräkna hur stor andel (i procent) en del är av en helhet i en praktisk situation.,procent-begrepp,,"Ge eleven en praktisk situation (t.ex. antal godkända produkter av en tillverkad mängd, eller andel av en budget) och be hen räkna ut andelen i procent."
forandringsfaktor-begrepp,begrep,Aritmetik och procent,Förändringsfaktor,Eleven vet vad en förändringsfaktor är och hur den beskriver en procentuell ökning eller minskning.,procent-begrepp,,
berakna-forandring-flera-steg-fardighet,ferdighet,Aritmetik och procent,Beräkna förändringar i flera steg,"Eleven kan beräkna en sammantagen förändring när flera procentuella förändringar sker efter varandra (t.ex. flera prishöjningar eller rabatter), med hjälp av förändringsfaktor.",forandringsfaktor-begrepp,,"Ge eleven en situation med minst två procentuella förändringar efter varandra (t.ex. en prishöjning följt av en rabatt) och be hen räkna ut den sammantagna förändringsfaktorn och slutpriset."
avrundning-uppskattning-begrepp,begrep,Aritmetik och procent,Avrundning och överslagsräkning,"Eleven vet vad avrundning och överslagsräkning innebär, och när det är lämpligt att använda i praktiska sammanhang.",,,
uppskatta-kontrollrakna-fardighet,ferdighet,Aritmetik och procent,Uppskatta och kontrollräkna ett resultat,"Eleven kan uppskatta ett rimligt svar med överslagsräkning, och kontrollräkna ett resultat med en annan beräkningsmetod.",avrundning-uppskattning-begrepp,,"Ge eleven en beräkning och be hen först uppskatta svaret med överslagsräkning, sedan räkna ut det exakta svaret och kontrollera det med en annan metod, och avgöra om uppskattningen var rimlig."
matningsosakerhet-begrepp,begrep,Aritmetik och procent,Mätosäkerhet och felmarginal,"Eleven vet att en mätning eller beräkning i arbetslivet ofta har en osäkerhet (felmarginal), och vad det innebär praktiskt.",avrundning-uppskattning-begrepp,,
berakna-med-felmarginal-fardighet,ferdighet,Aritmetik och procent,Beräkna med säkerhetsmarginal,"Eleven kan göra en beräkning som tar hänsyn till en given felmarginal eller säkerhetsmarginal i en praktisk, yrkesrelevant situation, t.ex. en spill- eller svinnberäkning.",matningsosakerhet-begrepp;berakna-procent-fardighet,,"Ge eleven en yrkesrelevant situation med en angiven felmarginal eller ett svinnpåslag (t.ex. materialåtgång med en viss spillprocent) och be hen räkna ut hur mycket som faktiskt behövs eller är säkert."
enhetsbyte-fardighet,ferdighet,Aritmetik och procent,Byta mellan måttenheter,"Eleven kan byta mellan vanliga måttenheter (t.ex. tid, längd, vikt) som är relevanta för arbetslivet, och avgöra vilken enhet som är lämplig i en given situation.",,,"Ge eleven ett värde i en enhet som inte passar situationen (t.ex. minuter när svaret behövs i timmar, eller gram när svaret behövs i kilogram) och be hen byta enhet och motivera valet."
berakna-kostnad-forbrukning-fardighet,ferdighet,Aritmetik och procent,Beräkna kostnad och förbrukning,"Eleven kan beräkna kostnad för förbrukningsmaterial och göra en tidsuppskattning i en yrkesrelevant situation, med rimliga enheter och avrundningar.",enhetsbyte-fardighet;uppskatta-kontrollrakna-fardighet,,"Ge eleven en yrkesrelevant situation (t.ex. materialåtgång för ett jobb, eller hur lång tid en uppgift tar) och be hen räkna ut totalkostnad eller total tidsåtgång, med rimlig avrundning."
anvanda-tumregler-hjalpmedel-fardighet,ferdighet,Aritmetik och procent,Använda tumregler och yrkeshjälpmedel,"Eleven kan använda och tolka tumregler, mallar, föreskrifter och andra yrkesrelevanta hjälpmedel/verktyg (t.ex. manualer och referensverk) för att lösa ett matematiskt problem.",enhetsbyte-fardighet,,"Ge eleven en enkel tumregel, tabell eller mall från ett yrkessammanhang (påhittad om nödvändigt) och en praktisk fråga, och be hen använda hjälpmedlet för att komma fram till svaret."
vinkel-begrepp,begrep,Geometri och skala,Vinkel,"Eleven vet vad en vinkel är, hur den mäts i grader, och kan mäta en vinkel med ett mätverktyg.",,,
skala-begrepp,begrep,Geometri och skala,Skala,Eleven vet vad skala innebär och kan läsa av och tolka en skalangivelse.,,,
likformighet-begrepp,begrep,Geometri och skala,Likformighet,"Eleven vet vad det innebär att två figurer är likformiga (samma form, proportionella sidor), och känner igen proportionalitet i det sammanhanget.",skala-begrepp,,
berakna-skala-fardighet,ferdighet,Geometri och skala,Räkna med skala och likformighet,"Eleven kan använda skala eller likformighet för att beräkna en verklig, förminskad eller förstorad längd i en praktisk situation.",likformighet-begrepp,,"Ge eleven en praktisk situation med en skala eller två likformiga figurer (t.ex. en ritning som ska skalas om, eller en höjd som ska beräknas via skuggor) och be hen räkna ut den okända längden."
pythagoras-begrepp,begrep,Geometri och skala,Pythagoras sats,Eleven känner till Pythagoras sats och vet i vilka situationer den kan användas.,vinkel-begrepp,,
berakna-pythagoras-fardighet,ferdighet,Geometri och skala,Använda Pythagoras sats,"Eleven kan använda Pythagoras sats för att beräkna en okänd längd i en rätvinklig, yrkesrelevant situation.",pythagoras-begrepp,,"Ge eleven en rätvinklig, praktisk situation (t.ex. en stege mot en vägg, eller diagonalen i en rektangulär skiva) med två kända längder, och be hen räkna ut den tredje."
trigonometri-begrepp,begrep,Geometri och skala,Trigonometriska funktioner,"Eleven vet vad sinus, cosinus och tangens är i en rätvinklig triangel, och vad de används till.",vinkel-begrepp,,
