id,type,topic,name,description,depends_on,aids,instruction
,config,,schemaVersion,3,,,
,config,,topicOrder,"Kjemi som fag;Redoks og elektrokjemi;Likevekt;Entropi, entalpi og spontanitet;Syrer, baser og buffere;Løselighet;Reaksjonshastighet og katalysatorer;Organisk reaksjonskjemi;Synteser;Kromatografi;Biologiske makromolekyler;Grønn kjemi og materialkretsløp;Fordypningsemne",,,
,config,,title,Kjemi 2,,,
,config,,description,"Redoks og elektrokjemi, likevekt, entropi og spontanitet, syrer, baser og buffere, løselighet, reaksjonshastighet, organisk reaksjonskjemi, synteser, kromatografi og biologiske makromolekyler — dekomponert i det elevene faktisk må kunne gjøre, med hjelpemiddelordningen fra våren 2027 lagt til grunn.",,,
,config,,language,nb,,,
,config,,languageName,Norwegian (bokmål),,,
,config,,subjectFamily,natural-sciences,,,
,config,,storageKey,kjemi2-ferdighetstre-fullfort,,,
,config,,features.motivation,false,,,
,config,,features.exams,true,,,
,config,,slots.courseName,kjemi 2 (norsk videregående skole),,,
,config,,slots.expressionFocus,"glemmer å balansere reaksjonslikninger (inkludert ladning i halvreaksjoner, ikke bare atomer), glemmer tilstandssymboler (s), (l), (g), (aq), blander sammen K og Kc/Ksp/Ka/Kb uten å si hvilken likevektskonstant som menes, oppgir svar med feil antall gjeldende siffer eller glemmer enheter (spesielt mol/L, mol, C, J, kJ/mol), blander sammen fortegnskonvensjonen for entalpi/entropi/fri energi ved endoterme og eksoterme prosesser, bruker enkeltpil (→) der likevektspil (⇌) er riktig eller omvendt, glemmer å oppgi hvilket stoff som er oksidasjonsmiddel og hvilket som er reduksjonsmiddel eksplisitt i stedet for bare å si ""oksidasjon skjer"", eller blander sammen konsentrasjon (mol/L) og stoffmengde (mol) i en beregning",,,
,config,,aids.label,Del,,,
,config,,aids.1.student,"Uten kalkulator. Du regner for hånd eller resonnerer kvalitativt, med skrivesaker, passer, linjal, vinkelmåler og det trykte vedlegget «Tabeller og formler i REA3046 Kjemi 2».",,,
,config,,aids.1.model,"Hjelpemidler: Dette gjelder del 1 av eksamen, uten kalkulator. Forvent at eleven regner for hånd eller resonnerer kvalitativt, med kun skrivesaker, passer, linjal, vinkelmåler og det trykte vedlegget ""Tabeller og formler i REA3046 Kjemi 2"" (periodesystem, standardpotensialer, formler) tilgjengelig. Eksamen tillater uansett ikke kunstig intelligens eller chatbot som hjelpemiddel i selve eksamensgjennomføringen - denne treningsøkten er forberedelse, ikke eksamen.",,,
,config,,aids.2.student,"Fra våren 2027 besvares denne delen for hånd. Du får bruke en enkel vitenskapelig kalkulator, egne notater på papir, lærebok og det trykte vedlegget — men ingen PC eller nettbrett, ingen digitale kilder, og ingen grafisk, likningsløsende eller programmerbar kalkulator.",,,
